PopName,day_bin,kid_sex,age_spawn,count_age,count_total,freq
FRH,19,Female,2,5,6,0.8333333333333334
FRH,19,Female,3,1,6,0.16666666666666666
FRH,20,Female,2,124,138,0.8985507246376812
FRH,20,Female,3,14,138,0.10144927536231885
FRH,20,Male,2,97,100,0.97
FRH,20,Male,3,3,100,0.03
MRH,1,Female,2,202,207,0.9758454106280193
MRH,1,Female,3,5,207,0.024154589371980676
MRH,1,Male,2,224,238,0.9411764705882353
MRH,1,Male,3,11,238,0.046218487394957986
MRH,1,Male,4,3,238,0.012605042016806723
MRH,2,Female,2,6,27,0.2222222222222222
MRH,2,Male,2,10,18,0.5555555555555556
MRH,2,Female,3,21,27,0.7777777777777778
MRH,2,Male,3,8,18,0.4444444444444444
MRH,3,Female,2,38,55,0.6909090909090909
MRH,3,Female,3,17,55,0.3090909090909091
MRH,3,Male,2,83,88,0.9431818181818182
MRH,3,Male,3,4,88,0.045454545454545456
MRH,3,Male,4,1,88,0.011363636363636364
MRH,4,Female,2,76,103,0.7378640776699029
MRH,4,Female,3,26,103,0.2524271844660194
MRH,4,Male,2,109,125,0.872
MRH,4,Male,3,16,125,0.128
MRH,4,Female,4,1,103,0.009708737864077669
MRH,5,Female,2,3,14,0.21428571428571427
MRH,5,Female,3,11,14,0.7857142857142857
MRH,5,Male,2,6,14,0.42857142857142855
MRH,5,Male,3,8,14,0.5714285714285714
MRH,6,Female,2,89,101,0.8811881188118812
MRH,6,Female,3,10,101,0.09900990099009901
MRH,6,Male,2,127,132,0.9621212121212122
MRH,6,Male,3,3,132,0.022727272727272728
MRH,6,Female,4,2,101,0.019801980198019802
MRH,6,Male,4,2,132,0.015151515151515152
MRH,7,Female,2,40,62,0.6451612903225806
MRH,7,Female,3,22,62,0.3548387096774194
MRH,7,Male,2,53,62,0.8548387096774194
MRH,7,Male,3,9,62,0.14516129032258066
MRH,8,Female,2,24,38,0.631578947368421
MRH,8,Female,3,13,38,0.34210526315789475
MRH,8,Female,4,1,38,0.02631578947368421
MRH,8,Male,2,20,32,0.625
MRH,8,Male,3,12,32,0.375
MRH,9,Female,2,33,37,0.8918918918918919
MRH,9,Female,3,4,37,0.10810810810810811
MRH,9,Male,2,40,43,0.9302325581395349
MRH,9,Male,3,3,43,0.06976744186046512
MRH,10,Female,2,34,50,0.68
MRH,10,Female,3,15,50,0.3
MRH,10,Male,2,42,48,0.875
MRH,10,Male,3,5,48,0.10416666666666667
MRH,10,Male,4,1,48,0.020833333333333332
MRH,10,Female,4,1,50,0.02
MRH,11,Female,2,11,13,0.8461538461538461
MRH,11,Female,4,1,13,0.07692307692307693
MRH,11,Male,2,12,16,0.75
MRH,11,Male,3,4,16,0.25
MRH,11,Female,3,1,13,0.07692307692307693
MRH,12,Female,2,26,36,0.7222222222222222
MRH,12,Male,2,18,19,0.9473684210526315
MRH,12,Male,3,1,19,0.05263157894736842
MRH,12,Female,3,10,36,0.2777777777777778
MRH,13,Male,2,5,7,0.7142857142857143
MRH,13,Male,3,2,7,0.2857142857142857
MRH,13,Female,2,5,8,0.625
MRH,13,Female,3,3,8,0.375
MRH,14,Female,2,25,31,0.8064516129032258
MRH,14,Male,2,23,24,0.9583333333333334
MRH,14,Female,3,6,31,0.1935483870967742
MRH,14,Male,3,1,24,0.041666666666666664
MRH,15,Female,2,16,18,0.8888888888888888
MRH,15,Male,2,16,17,0.9411764705882353
MRH,15,Female,3,2,18,0.1111111111111111
MRH,15,Male,3,1,17,0.058823529411764705
MRH,16,Female,2,7,7,1
MRH,16,Male,2,12,13,0.9230769230769231
MRH,16,Male,3,1,13,0.07692307692307693
MRH,17,Female,2,12,14,0.8571428571428571
MRH,17,Female,3,2,14,0.14285714285714285
MRH,17,Male,2,15,16,0.9375
MRH,17,Male,3,1,16,0.0625
MRH,18,Female,2,3,3,1
MRH,18,Male,3,1,2,0.5
MRH,18,Male,2,1,2,0.5
MRH,19,Female,2,8,8,1
MRH,19,Male,2,8,8,1
MRH,20,Female,2,7,8,0.875
MRH,20,Male,2,5,5,1
MRH,20,Female,3,1,8,0.125
NH,1,Female,3,23,23,1
NH,1,Male,3,35,35,1
NH,2,Female,4,1,16,0.0625
NH,2,Male,2,1,20,0.05
NH,2,Female,3,15,16,0.9375
NH,2,Male,3,18,20,0.9
NH,2,Male,4,1,20,0.05
NH,3,Female,3,29,34,0.8529411764705882
NH,3,Male,3,28,37,0.7567567567567568
NH,3,Female,4,5,34,0.14705882352941177
NH,3,Male,2,2,37,0.05405405405405406
NH,3,Male,4,7,37,0.1891891891891892
NH,4,Female,3,50,50,1
NH,4,Male,2,1,63,0.015873015873015872
NH,4,Male,3,62,63,0.9841269841269841
NH,5,Female,2,1,71,0.014084507042253521
NH,5,Female,4,2,71,0.028169014084507043
NH,5,Male,2,4,88,0.045454545454545456
NH,5,Male,4,2,88,0.022727272727272728
NH,5,Female,3,68,71,0.9577464788732394
NH,5,Male,3,82,88,0.9318181818181818
NH,6,Female,3,71,79,0.8987341772151899
NH,6,Male,3,62,78,0.7948717948717948
NH,6,Female,2,2,79,0.02531645569620253
NH,6,Female,4,6,79,0.0759493670886076
NH,6,Male,2,6,78,0.07692307692307693
NH,6,Male,4,10,78,0.1282051282051282
NH,7,Female,3,55,55,1
NH,7,Male,2,3,49,0.061224489795918366
NH,7,Male,3,46,49,0.9387755102040817
NH,8,Female,3,59,65,0.9076923076923077
NH,8,Male,3,59,67,0.8805970149253731
NH,8,Female,2,2,65,0.03076923076923077
NH,8,Female,4,4,65,0.06153846153846154
NH,8,Male,2,6,67,0.08955223880597014
NH,8,Male,4,2,67,0.029850746268656716
NH,9,Female,3,34,34,1
NH,9,Male,2,1,52,0.019230769230769232
NH,9,Male,3,51,52,0.9807692307692307
NH,10,Female,3,62,80,0.775
NH,10,Male,3,58,95,0.6105263157894737
NH,10,Female,2,13,80,0.1625
NH,10,Female,4,5,80,0.0625
NH,10,Male,2,35,95,0.3684210526315789
NH,10,Male,4,2,95,0.021052631578947368
NH,11,Female,2,1,58,0.017241379310344827
NH,11,Female,3,57,58,0.9827586206896551
NH,11,Male,2,2,78,0.02564102564102564
NH,11,Male,3,76,78,0.9743589743589743
NH,12,Female,2,12,51,0.23529411764705882
NH,12,Female,3,39,51,0.7647058823529411
NH,12,Male,2,19,53,0.3584905660377358
NH,12,Male,4,2,53,0.03773584905660377
NH,12,Male,3,32,53,0.6037735849056604
NH,13,Female,3,45,45,1
NH,13,Male,3,46,46,1
NH,14,Female,2,21,36,0.5833333333333334
NH,14,Female,3,14,36,0.3888888888888889
NH,14,Female,4,1,36,0.027777777777777776
NH,14,Male,2,41,55,0.7454545454545455
NH,14,Male,3,14,55,0.2545454545454545
NH,15,Female,3,15,27,0.5555555555555556
NH,15,Male,3,19,42,0.4523809523809524
NH,15,Female,4,2,27,0.07407407407407407
NH,15,Female,2,10,27,0.37037037037037035
NH,15,Male,2,23,42,0.5476190476190477
NH,16,Female,3,24,27,0.8888888888888888
NH,16,Female,4,1,27,0.037037037037037035
NH,16,Male,3,16,20,0.8
NH,16,Male,4,1,20,0.05
NH,16,Female,2,2,27,0.07407407407407407
NH,16,Male,2,3,20,0.15
NH,17,Male,3,5,16,0.3125
NH,17,Female,3,5,10,0.5
NH,17,Female,2,5,10,0.5
NH,17,Male,2,11,16,0.6875
NH,18,Female,3,11,17,0.6470588235294118
NH,18,Male,3,9,15,0.6
NH,18,Male,4,1,15,0.06666666666666667
NH,18,Female,2,6,17,0.35294117647058826
NH,18,Male,2,5,15,0.3333333333333333
NH,19,Female,2,6,13,0.46153846153846156
NH,19,Male,2,12,18,0.6666666666666666
NH,19,Female,3,7,13,0.5384615384615384
NH,19,Male,3,6,18,0.3333333333333333
NH,20,Female,2,9,9,1
NH,20,Male,2,18,18,1
